Kommun,Andel män,Andel sysselsatta,andeltätort,Medelinkomst,Andel utländsktfödda,Medelålder,Mestrostadeparti
Hultsfred,0.515358361774744,0.759207197076188,0.82,271.4,0.214732650739477,39.5,Arbetarepartiet-Socialdemokraterna
Hylte,0.512423547400612,0.792631770928324,0.68,277.9,0.243119266055046,43.4,Arbetarepartiet-Socialdemokraterna
Järfälla,0.509279194945004,0.796079543153376,1,341.8,0.347226772759186,42.8,Arbetarepartiet-Socialdemokraterna
Jokkmokk,0.517436974789916,0.829668132746901,0.75,300.7,0.13046218487395,43.8,Arbetarepartiet-Socialdemokraterna
Jönköping,0.503734994556004,0.823280843686796,0.91,320.7,0.197437876428188,40.5,Sverigedemokraterna
Kalix,0.512620001271537,0.821127110228401,0.78,301.4,0.116027719499015,40.7,Arbetarepartiet-Socialdemokraterna
Kalmar,0.49845871865367,0.81788306847165,0.89,313.5,0.155711072231942,42.3,Arbetarepartiet-Socialdemokraterna
Karlsborg,0.512399036417741,0.811186825667235,0.77,305.8,0.092248830947995,39.3,Sverigedemokraterna
Karlshamn,0.503693816737025,0.802280035077463,0.85,302.3,0.147566426620313,41.9,Arbetarepartiet-Socialdemokraterna
Karlskoga,0.502113745954158,0.80856050326878,0.92,306.7,0.166193275645683,44.0,Arbetarepartiet-Socialdemokraterna
Karlskrona,0.514186737050478,0.806974835886214,0.84,313.5,0.136258660508083,43.6,Arbetarepartiet-Socialdemokraterna
Karlstad,0.497398046980283,0.806747196169148,0.9,314.6,0.146030725851595,42.5,Moderaterna
Katrineholm,0.501242630909721,0.783248536572023,0.84,289.6,0.192867876546064,44.7,Arbetarepartiet-Socialdemokraterna
Kävlinge,0.501447489990761,0.862737182075091,0.93,368.9,0.113366184170003,44.2,Arbetarepartiet-Socialdemokraterna
Kil,0.506397028477095,0.831643328504748,0.75,305.4,0.080478745356996,44.5,Sverigedemokraterna
Kinda,0.510131108462455,0.839833696297763,0.66,300.0,0.093663090981327,41.9,Arbetarepartiet-Socialdemokraterna
Kiruna,0.525843999464835,0.855686152409123,0.89,360.0,0.135396690897739,43.0,Sverigedemokraterna
Klippan,0.516764623565631,0.776949775418538,0.75,282.4,0.194458438287154,39.6,Arbetarepartiet-Socialdemokraterna
Knivsta,0.50886604082849,0.863742166517458,0.73,380.7,0.158396662196394,48.0,Arbetarepartiet-Socialdemokraterna
Köping,0.508346094946401,0.796227783822996,0.83,295.6,0.216807044410413,38.7,Sverigedemokraterna
Kramfors,0.515638963360143,0.770184291355858,0.69,279.0,0.131032171581769,39.2,Arbetarepartiet-Socialdemokraterna
Kristianstad,0.499135327076944,0.782985669464937,0.86,300.0,0.198575019022804,41.7,Arbetarepartiet-Socialdemokraterna
Kristinehamn,0.505841267201596,0.777317946677278,0.84,284.9,0.138860017461439,41.0,Arbetarepartiet-Socialdemokraterna
Krokom,0.515001287664177,0.872093023255814,0.58,312.9,0.073911923770281,45.4,Moderaterna
Kumla,0.499399439476845,0.83473133460676,0.88,306.9,0.139196583477913,40.8,Arbetarepartiet-Socialdemokraterna
Kungälv,0.500978234287112,0.861307092461938,0.79,359.1,0.113108339447298,46.1,Sverigedemokraterna
Kungsbacka,0.497744781529353,0.872122874382885,0.87,394.5,0.095395158564586,42.7,Arbetarepartiet-Socialdemokraterna
Kungsör,0.509472723122575,0.790794066317627,0.79,294.7,0.186943620178042,42.5,Arbetarepartiet-Socialdemokraterna
Laholm,0.509877704609596,0.822740268308775,0.74,300.1,0.153226716839135,50.3,Arbetarepartiet-Socialdemokraterna
Landskrona,0.50355288911582,0.764105549088087,0.94,296.3,0.274487277678495,43.9,Arbetarepartiet-Socialdemokraterna
Laxå,0.514885222381636,0.774593064401982,0.73,282.4,0.183285509325681,43.6,Sverigedemokraterna
Lekeberg,0.519301050708086,0.861386138613861,0.56,318.4,0.073321151210598,43.1,Moderaterna
Leksand,0.506671631601812,0.841445057701957,0.81,305.2,0.093216657357413,41.6,Arbetarepartiet-Socialdemokraterna
Lerum,0.501309261300992,0.869458446426263,0.93,373.7,0.112228959941198,44.6,Arbetarepartiet-Socialdemokraterna
Lessebo,0.51184443134944,0.773823460547881,0.89,270.1,0.251620506776665,43.8,Arbetarepartiet-Socialdemokraterna
Lidingö,0.488994879418566,0.812271844660194,0.99,515.7,0.182998843739676,43.7,Arbetarepartiet-Socialdemokraterna
Lidköping,0.502953753367773,0.84618558591601,0.78,318.4,0.112094322366958,42.0,Arbetarepartiet-Socialdemokraterna
Lilla Edet,0.521624618796784,0.814690945125728,0.69,309.7,0.180205156639867,39.8,Arbetarepartiet-Socialdemokraterna
Lindesberg,0.509409003627054,0.798111364376425,0.73,294.4,0.151610838489439,39.8,Sverigedemokraterna
Linköping,0.50994462210436,0.780420034276095,0.9,320.1,0.18695289578996,46.1,Arbetarepartiet-Socialdemokraterna
Ljungby,0.511462977916652,0.829587892288541,0.71,298.5,0.200751325351964,41.7,Arbetarepartiet-Socialdemokraterna
Ljusdal,0.506366203185765,0.809433764050846,0.61,281.5,0.099568483298705,46.5,Arbetarepartiet-Socialdemokraterna
Ljusnarsberg,0.508966127961036,0.722707423580786,0.72,263.1,0.176887314589329,48.2,Sverigedemokraterna
Lomma,0.498280813882934,0.858245956270828,0.96,454.3,0.103879292908863,50.6,Sverigedemokraterna
Ludvika,0.50901225666907,0.777407916636515,0.87,296.6,0.18331878723485,44.4,Arbetarepartiet-Socialdemokraterna
Luleå,0.511874716066832,0.811514316337468,0.9,327.2,0.123441522386553,46.9,Arbetarepartiet-Socialdemokraterna
Lund,0.493293556829511,0.711899469335835,0.95,325.4,0.235114967597208,46.5,Arbetarepartiet-Socialdemokraterna
Lycksele,0.511067548803398,0.83606046439146,0.74,298.5,0.112390753900188,45.4,Sverigedemokraterna
Lysekil,0.5030345800988,0.804384965831435,0.75,315.2,0.140931545518701,39.6,Sverigedemokraterna
Malå,0.513023409165842,0.840743198407432,0.66,295.6,0.1279261457303,40.1,Arbetarepartiet-Socialdemokraterna
Malmö,0.49636098573775,0.732846447949816,1,308.8,0.35570839757455,41.5,Arbetarepartiet-Socialdemokraterna
Malung-Sälen,0.52300643400273,0.846210313819049,0.72,300.2,0.124195749658803,42.2,Arbetarepartiet-Socialdemokraterna
Mariestad,0.504481589147287,0.829273950359545,0.78,303.7,0.124555878552972,45.8,Arbetarepartiet-Socialdemokraterna
Mark,0.505646918961759,0.83423970995948,0.69,304.5,0.136969628350647,44.9,Moderaterna
Markaryd,0.517706079087153,0.790502793296089,0.79,279.5,0.24621286641747,47.0,Arbetarepartiet-Socialdemokraterna
Mellerud,0.519702040375688,0.769099445155783,0.59,274.3,0.186116808809241,48.8,Arbetarepartiet-Socialdemokraterna
Mjölby,0.507850093077166,0.841938815025171,0.81,310.7,0.124618032383829,44.4,Arbetarepartiet-Socialdemokraterna
Mölndal,0.503458899713304,0.84674503794862,0.97,372.4,0.192343351067623,47.8,Arbetarepartiet-Socialdemokraterna
Mönsterås,0.506477854775535,0.81205985915493,0.76,296.6,0.139198553781259,45.8,Arbetarepartiet-Socialdemokraterna
Mora,0.506697615938875,0.840117379780386,0.87,300.3,0.091106920063833,41.7,Arbetarepartiet-Socialdemokraterna
Mörbylånga,0.494088207694714,0.85554834523037,0.78,317.3,0.085079762277135,43.3,Arbetarepartiet-Socialdemokraterna
Motala,0.507935418953531,0.803506962351728,0.84,294.9,0.152808269301134,44.5,Arbetarepartiet-Socialdemokraterna
Mullsjö,0.50185873605948,0.847276518113109,0.87,301.7,0.1188263409453,44.3,Sverigedemokraterna
Munkedal,0.517678200037814,0.819710669077758,0.62,292.0,0.12138400453772,44.1,Arbetarepartiet-Socialdemokraterna
Munkfors,0.507160226965685,0.768862911795962,0.78,270.0,0.156444204269116,45.3,Arbetarepartiet-Socialdemokraterna
Nacka,0.497871874029556,0.831915589726812,0.99,450.5,0.199020879381839,43.9,Arbetarepartiet-Socialdemokraterna
Nässjö,0.51324192336589,0.808503141699454,0.84,292.4,0.201195842724768,45.5,Arbetarepartiet-Socialdemokraterna
Nora,0.493692178301093,0.813940520446097,0.76,305.9,0.136062050275675,39.3,Sverigedemokraterna
Norberg,0.511462591078728,0.780539026951348,0.79,287.9,0.143593389017238,39.7,Sverigedemokraterna
Nordanstig,0.514598924844524,0.793780004174494,0.52,277.3,0.091599030251924,41.7,Arbetarepartiet-Socialdemokraterna
Nordmaling,0.515284460798188,0.826455624646693,0.57,288.0,0.09623549391452,48.2,Sverigedemokraterna
Norrköping,0.500627067254686,0.793596382466633,0.91,306.0,0.209729878721058,42.3,Arbetarepartiet-Socialdemokraterna
Norrtälje,0.505283059142818,0.809230227232693,0.66,313.3,0.13688688307134,43.3,Arbetarepartiet-Socialdemokraterna
Norsjö,0.518621738028883,0.835553278688525,0.6,287.8,0.103116290853813,43.1,Arbetarepartiet-Socialdemokraterna
Nybro,0.508052997094026,0.794490927893203,0.79,277.4,0.19026744816037,40.9,Arbetarepartiet-Socialdemokraterna
Nyköping,0.49654435463022,0.805316730902263,0.84,315.0,0.164836869409352,42.6,Arbetarepartiet-Socialdemokraterna
Nykvarn,0.509859396433471,0.873944322802628,0.82,380.8,0.140603566529492,41.0,Sverigedemokraterna
Nynäshamn,0.509203475019139,0.806431852986217,0.82,319.6,0.206803581533136,43.7,Arbetarepartiet-Socialdemokraterna
Ockelbo,0.507816526370039,0.79008152173913,0.59,284.0,0.129359216629445,46.1,Arbetarepartiet-Socialdemokraterna
Öckerö,0.49890625,0.856203151292642,0.97,357.2,0.0690625,45.2,Arbetarepartiet-Socialdemokraterna
Ödeshög,0.513635508745533,0.831261770244821,0.57,286.3,0.114162121497085,43.8,Sverigedemokraterna
Olofström,0.513564860551714,0.772318240251393,0.82,289.6,0.243179572915875,43.3,Sverigedemokraterna
Örebro,0.495947664450167,0.797668700882469,0.9,308.0,0.195467457942388,40.9,Arbetarepartiet-Socialdemokraterna
Örkelljunga,0.516690578670493,0.796309439318666,0.74,284.5,0.189574366331899,45.3,Arbetarepartiet-Socialdemokraterna
Örnsköldsvik,0.507154813974837,0.827741646880699,0.76,312.8,0.095055528556258,44.2,Arbetarepartiet-Socialdemokraterna
Orsa,0.509085664839919,0.816979051819184,0.88,277.4,0.121863282376695,42.5,Arbetarepartiet-Socialdemokraterna
Orust,0.50820629257217,0.828444211629125,0.46,319.2,0.092377554330198,43.8,Sverigedemokraterna
Osby,0.506269829279347,0.801795173631548,0.78,292.7,0.178123583622904,45.0,Sverigedemokraterna
Oskarshamn,0.508953677667604,0.832670712143405,0.85,314.7,0.153507473730946,47.6,Arbetarepartiet-Socialdemokraterna
Österåker,0.507041393626114,0.840100864018986,0.93,385.6,0.178863608612479,48.0,Arbetarepartiet-Socialdemokraterna
Östersund,0.495781438328646,0.836293954737461,0.89,309.1,0.105247705287882,41.0,Arbetarepartiet-Socialdemokraterna
Östhammar,0.513157894736842,0.848313614691859,0.68,315.4,0.100608664518439,46.9,Sverigedemokraterna
Östra Göinge,0.515126569252933,0.766523828074276,0.79,272.0,0.186252315291212,43.2,Arbetarepartiet-Socialdemokraterna
Ovanåker,0.514885561865428,0.822316865417376,0.66,279.1,0.088797108931337,45.5,Arbetarepartiet-Socialdemokraterna
Överkalix,0.52879746835443,0.810444874274661,0.54,281.0,0.132911392405063,45.0,Arbetarepartiet-Socialdemokraterna
Övertorneå,0.520271910657927,0.789968652037618,0.58,278.9,0.252974022821073,45.5,Arbetarepartiet-Socialdemokraterna
Oxelösund,0.508687737878537,0.798249958725442,0.97,299.3,0.21876551381764,41.7,Arbetarepartiet-Socialdemokraterna
Pajala,0.536630970593235,0.818620178041543,0.51,290.2,0.141764405915349,46.0,Arbetarepartiet-Socialdemokraterna
Partille,0.507251831777577,0.833887491013659,0.99,370.7,0.208672086720867,46.1,Arbetarepartiet-Socialdemokraterna
Perstorp,0.514915345337275,0.721323900960081,0.81,266.2,0.262563826928245,48.5,Moderaterna
Piteå,0.50375336386384,0.840830751778001,0.83,321.3,0.071313913412964,45.4,Arbetarepartiet-Socialdemokraterna
Ragunda,0.509856977193661,0.815437523882308,0.46,277.0,0.119056822574411,46.4,Arbetarepartiet-Socialdemokraterna
Rättvik,0.506040389469888,0.828066914498141,0.8,287.5,0.077623512441399,40.9,Arbetarepartiet-Socialdemokraterna
Robertsfors,0.515017014351235,0.842815249266862,0.46,292.6,0.098683237165261,47.2,Arbetarepartiet-Socialdemokraterna
Ronneby,0.510233467036923,0.773316408337787,0.81,287.1,0.173129006822311,42.6,Arbetarepartiet-Socialdemokraterna
Säffle,0.507282508857105,0.763241863433312,0.65,277.8,0.142435375934917,46.7,Arbetarepartiet-Socialdemokraterna
Sala,0.505809146686393,0.812141372141372,0.7,292.2,0.145424481093077,46.6,Arbetarepartiet-Socialdemokraterna
Salem,0.498732134624251,0.842082708377973,0.99,358.3,0.228446288612264,49.4,Arbetarepartiet-Socialdemokraterna
Sandviken,0.507238221903934,0.776883651865689,0.86,302.5,0.183155148600951,40.1,Arbetarepartiet-Socialdemokraterna
Säter,0.514861148079141,0.848253085346776,0.66,308.8,0.08384349214799,41.0,Arbetarepartiet-Socialdemokraterna
Sävsjö,0.514739614306346,0.812614717170032,0.75,282.1,0.201936963724407,46.9,Arbetarepartiet-Socialdemokraterna
Sigtuna,0.510910633048038,0.775237777406975,0.89,317.5,0.374913254684247,44.4,Sverigedemokraterna
Simrishamn,0.49449512425291,0.782143251296766,0.74,297.9,0.12928593897452,45.6,Sverigedemokraterna
Sjöbo,0.511075868419706,0.822656396768739,0.67,302.6,0.113367780222029,44.6,Sverigedemokraterna
Skara,0.502319381498267,0.811239475230076,0.76,299.8,0.167955211943482,47.4,Sverigedemokraterna
Skellefteå,0.51303728394398,0.843038292529818,0.82,316.1,0.107241740813419,44.1,Arbetarepartiet-Socialdemokraterna
Skinnskatteberg,0.510222626079055,0.770300583221175,0.58,281.5,0.17741935483871,43.6,Sverigedemokraterna
Skövde,0.506795677218384,0.823323597419983,0.87,323.4,0.165306371056158,43.1,Arbetarepartiet-Socialdemokraterna
Skurup,0.502301117685733,0.822105378464235,0.77,315.1,0.140995756380372,46.0,Sverigedemokraterna
Smedjebacken,0.509705182201062,0.818115545835611,0.69,303.0,0.103094671305622,41.1,Arbetarepartiet-Socialdemokraterna
Söderhamn,0.505661572571067,0.773614242400684,0.77,287.0,0.131562277298282,44.2,Sverigedemokraterna
Söderköping,0.505258190643117,0.84357841167805,0.65,322.4,0.073142780099771,43.3,Arbetarepartiet-Socialdemokraterna
Södertälje,0.51397106203503,0.75786693082384,0.92,290.4,0.433317712299611,43.8,Arbetarepartiet-Socialdemokraterna
Sollefteå,0.506830235174372,0.799143468950749,0.65,280.6,0.120640702844592,45.2,Arbetarepartiet-Socialdemokraterna
Sollentuna,0.504466335244042,0.808313025886248,1,421.6,0.285412594934218,45.8,Arbetarepartiet-Socialdemokraterna
Solna,0.501989467524868,0.797828141438277,1,401.3,0.337144528964307,46.3,Arbetarepartiet-Socialdemokraterna
Sölvesborg,0.506451981272125,0.819503199913223,0.83,303.7,0.121788283658787,44.0,Sverigedemokraterna
Sorsele,0.529146141215107,0.826860841423948,0.46,278.1,0.12807881773399,46.8,Arbetarepartiet-Socialdemokraterna
Sotenäs,0.511353711790393,0.832258064516129,0.82,331.9,0.106331877729258,49.0,Sverigedemokraterna
Staffanstorp,0.496564343864366,0.858522041598637,0.91,368.5,0.154529837926656,46.6,Arbetarepartiet-Socialdemokraterna
Stenungsund,0.504305705059204,0.86126328295162,0.82,361.0,0.117617509867241,46.9,Sverigedemokraterna
Stockholm,0.49584766864213,0.794217590619546,1,405.7,0.262077201476926,46.9,Arbetarepartiet-Socialdemokraterna
Storfors,0.529623905203503,0.790224032586558,0.58,288.4,0.145801133436373,45.9,Arbetarepartiet-Socialdemokraterna
Storuman,0.518879415347138,0.830769230769231,0.57,284.9,0.095006090133983,42.7,Sverigedemokraterna
Strängnäs,0.502907127654052,0.819575646668975,0.8,338.6,0.16586201526242,41.4,Arbetarepartiet-Socialdemokraterna
